label	lastfm_URI	DBpedia16_URI
Simple Minds	http://www.last.fm/music/Simple+Minds	http://dbpedia.org/resource/Simple_Minds
Howard Jones	http://www.last.fm/music/Howard+Jones	http://dbpedia.org/resource/Howard_Jones_(musician)
China Crisis	http://www.last.fm/music/China+Crisis	http://dbpedia.org/resource/China_Crisis
The Human League	http://www.last.fm/music/The+Human+League	http://dbpedia.org/resource/The_Human_League
Orchestral Manoeuvres in the Dark	http://www.last.fm/music/Orchestral+Manoeuvres+in+the+Dark	http://dbpedia.org/resource/Orchestral_Manoeuvres_in_the_Dark
Thompson Twins	http://www.last.fm/music/Thompson+Twins	http://dbpedia.org/resource/Thompson_Twins
Information Society	http://www.last.fm/music/Information+Society	http://dbpedia.org/resource/Information_Society_(band)
Kim Wilde	http://www.last.fm/music/Kim+Wilde	http://dbpedia.org/resource/Kim_Wilde
Robert Palmer	http://www.last.fm/music/Robert+Palmer	http://dbpedia.org/resource/Robert_Palmer_(writer)
The Fixx	http://www.last.fm/music/The+Fixx	http://dbpedia.org/resource/The_Fixx
Level 42	http://www.last.fm/music/Level+42	http://dbpedia.org/resource/Level_42
Tiësto	http://www.last.fm/music/Ti%C3%ABsto	
Artista desconhecido	http://www.last.fm/music/Artista+desconhecido	
Ultravox	http://www.last.fm/music/Ultravox	http://dbpedia.org/resource/Ultravox
Erasure	http://www.last.fm/music/Erasure	http://dbpedia.org/resource/Erasure
Berlin	http://www.last.fm/music/Berlin	http://dbpedia.org/resource/Berlin_(band)
The Psychedelic Furs	http://www.last.fm/music/The+Psychedelic+Furs	http://dbpedia.org/resource/The_Psychedelic_Furs
Yazoo	http://www.last.fm/music/Yazoo	http://dbpedia.org/resource/Yazoo_(band)
OceanLab	http://www.last.fm/music/OceanLab	http://dbpedia.org/resource/OceanLab
Groove Coverage	http://www.last.fm/music/Groove+Coverage	http://dbpedia.org/resource/Groove_Coverage
Heaven 17	http://www.last.fm/music/Heaven+17	http://dbpedia.org/resource/Heaven_17
Anything Box	http://www.last.fm/music/Anything+Box	http://dbpedia.org/resource/Anything_Box
Markus Schulz	http://www.last.fm/music/Markus+Schulz	http://dbpedia.org/resource/Markus_Schulz
Jessie J	http://www.last.fm/music/Jessie+J	http://dbpedia.org/resource/Jessie_J
Kerli	http://www.last.fm/music/Kerli	http://dbpedia.org/resource/Kerli
Breathe Carolina	http://www.last.fm/music/Breathe+Carolina	http://dbpedia.org/resource/Breathe_Carolina
Anarbor	http://www.last.fm/music/Anarbor	http://dbpedia.org/resource/Anarbor
The Maine	http://www.last.fm/music/The+Maine	http://dbpedia.org/resource/The_Maine_(band)
Forever the Sickest Kids	http://www.last.fm/music/Forever+the+Sickest+Kids	http://dbpedia.org/resource/Forever_the_Sickest_Kids
Gloria	http://www.last.fm/music/Gloria	http://dbpedia.org/resource/Gloria_(Bulgarian_singer)
Bruno Mars	http://www.last.fm/music/Bruno+Mars	http://dbpedia.org/resource/Bruno_Mars
Fresno	http://www.last.fm/music/Fresno	http://dbpedia.org/resource/Fresno_(band)
New Found Glory	http://www.last.fm/music/New+Found+Glory	http://dbpedia.org/resource/New_Found_Glory
McFly	http://www.last.fm/music/McFly	http://dbpedia.org/resource/McFly
Alesha Dixon	http://www.last.fm/music/Alesha+Dixon	http://dbpedia.org/resource/Alesha_Dixon
Pink	http://www.last.fm/music/Pink	http://dbpedia.org/resource/Pink_(singer)
Edyta Bartosiewicz	http://www.last.fm/music/Edyta+Bartosiewicz	http://dbpedia.org/resource/Edyta_Bartosiewicz
Camp Rock	http://www.last.fm/music/Camp+Rock	
Myslovitz	http://www.last.fm/music/Myslovitz	http://dbpedia.org/resource/Myslovitz
Ewa Farna	http://www.last.fm/music/Ewa+Farna	http://dbpedia.org/resource/Ewa_Farna
Alexz Johnson	http://www.last.fm/music/Alexz+Johnson	http://dbpedia.org/resource/Alexz_Johnson
Recoil	http://www.last.fm/music/Recoil	http://dbpedia.org/resource/Recoil_(band)
Ladytron	http://www.last.fm/music/Ladytron	http://dbpedia.org/resource/Ladytron
Hubert Kah	http://www.last.fm/music/Hubert+Kah	http://dbpedia.org/resource/Hubert_Kah
Ayria	http://www.last.fm/music/Ayria	http://dbpedia.org/resource/Ayria
Red Flag	http://www.last.fm/music/Red+Flag	http://dbpedia.org/resource/Red_Flag_(band)
The Frozen Autumn	http://www.last.fm/music/The+Frozen+Autumn	http://dbpedia.org/resource/The_Frozen_Autumn
Martin L. Gore	http://www.last.fm/music/Martin+L.+Gore	http://dbpedia.org/resource/Martin_Gore
Kraftwerk	http://www.last.fm/music/Kraftwerk	http://dbpedia.org/resource/Kraftwerk
IAMX	http://www.last.fm/music/IAMX	http://dbpedia.org/resource/IAMX
Wham!	http://www.last.fm/music/Wham%21	http://dbpedia.org/resource/Wham!
Billy Idol	http://www.last.fm/music/Billy+Idol	http://dbpedia.org/resource/Billy_Idol
Ace of Base	http://www.last.fm/music/Ace+of+Base	http://dbpedia.org/resource/Ace_of_Base
Siouxsie and the Banshees	http://www.last.fm/music/Siouxsie+and+the+Banshees	http://dbpedia.org/resource/Siouxsie_and_the_Banshees
Curve	http://www.last.fm/music/Curve	http://dbpedia.org/resource/Curve_(band)
Suede	http://www.last.fm/music/Suede	http://dbpedia.org/resource/Suede_(band)
AFI	http://www.last.fm/music/AFI	http://dbpedia.org/resource/AFI_(band)
Joaquín Sabina	http://www.last.fm/music/Joaqu%C3%ADn+Sabina	
Kaizers Orchestra	http://www.last.fm/music/Kaizers+Orchestra	http://dbpedia.org/resource/Kaizers_Orchestra
Kent	http://www.last.fm/music/Kent	http://dbpedia.org/resource/Kent_(band)
Damon Albarn	http://www.last.fm/music/Damon+Albarn	http://dbpedia.org/resource/Damon_Albarn
Patrick Wolf	http://www.last.fm/music/Patrick+Wolf	http://dbpedia.org/resource/Patrick_Wolf
The Prodigy	http://www.last.fm/music/The+Prodigy	http://dbpedia.org/resource/The_Prodigy
Chiodos	http://www.last.fm/music/Chiodos	http://dbpedia.org/resource/Chiodos
These New Puritans	http://www.last.fm/music/These+New+Puritans	http://dbpedia.org/resource/These_New_Puritans
Iggy Pop	http://www.last.fm/music/Iggy+Pop	http://dbpedia.org/resource/Iggy_Pop
Jack's Mannequin	http://www.last.fm/music/Jack%27s+Mannequin	http://dbpedia.org/resource/Jack's_Mannequin
Phoenix	http://www.last.fm/music/Phoenix	http://dbpedia.org/resource/Transsylvania_Phoenix
The Good, the Bad & the Queen	http://www.last.fm/music/The%2BGood%252C%2Bthe%2BBad%2B%2526%2Bthe%2BQueen	http://dbpedia.org/resource/The_Good_The_Bad
Yann Tiersen	http://www.last.fm/music/Yann+Tiersen	http://dbpedia.org/resource/Yann_Tiersen
Rush	http://www.last.fm/music/Rush	http://dbpedia.org/resource/Rush_(band)
Frédéric Chopin	http://www.last.fm/music/Fr%C3%A9d%C3%A9ric+Chopin	
Ayreon	http://www.last.fm/music/Ayreon	http://dbpedia.org/resource/Ayreon
Tarja	http://www.last.fm/music/Tarja	http://dbpedia.org/resource/Tarja_Turunen
Claude Debussy	http://www.last.fm/music/Claude+Debussy	
A Perfect Circle	http://www.last.fm/music/A+Perfect+Circle	http://dbpedia.org/resource/A_Perfect_Circle
Faith No More	http://www.last.fm/music/Faith+No+More	http://dbpedia.org/resource/List_of_Faith_No_More_band_members
Wolfgang Amadeus Mozart	http://www.last.fm/music/Wolfgang+Amadeus+Mozart	
The Police	http://www.last.fm/music/The+Police	http://dbpedia.org/resource/The_Police
Johann Sebastian Bach	http://www.last.fm/music/Johann+Sebastian+Bach	
Carl Orff	http://www.last.fm/music/Carl+Orff	
Noir Désir	http://www.last.fm/music/Noir+D%C3%A9sir	
The Asteroids Galaxy Tour	http://www.last.fm/music/The+Asteroids+Galaxy+Tour	http://dbpedia.org/resource/The_Asteroids_Galaxy_Tour
Ludwig van Beethoven	http://www.last.fm/music/Ludwig+van+Beethoven	
Tool	http://www.last.fm/music/Tool	http://dbpedia.org/resource/Tool_(band)
Joe Satriani	http://www.last.fm/music/Joe+Satriani	http://dbpedia.org/resource/Joe_Satriani
The String Quartet	http://www.last.fm/music/The+String+Quartet	http://dbpedia.org/resource/Enso_String_Quartet
Agalloch	http://www.last.fm/music/Agalloch	http://dbpedia.org/resource/Agalloch
Camille	http://www.last.fm/music/Camille	http://dbpedia.org/resource/Camille_(singer)
Die Antwoord	http://www.last.fm/music/Die+Antwoord	http://dbpedia.org/resource/Die_Antwoord
Empyrium	http://www.last.fm/music/Empyrium	
Stone Sour	http://www.last.fm/music/Stone+Sour	http://dbpedia.org/resource/Stone_Sour
菅野よう子	http://www.last.fm/music/%E8%8F%85%E9%87%8E%E3%82%88%E3%81%86%E5%AD%90	
平沢進	http://www.last.fm/music/%E5%B9%B3%E6%B2%A2%E9%80%B2	
Leonard Cohen	http://www.last.fm/music/Leonard+Cohen	http://dbpedia.org/resource/Leonard_Cohen
Editors	http://www.last.fm/music/Editors	http://dbpedia.org/resource/Editors_(band)
The Pillows	http://www.last.fm/music/The+Pillows	http://dbpedia.org/resource/The_Pillows
Hot Chip	http://www.last.fm/music/Hot+Chip	http://dbpedia.org/resource/Hot_Chip
Orbital	http://www.last.fm/music/Orbital	http://dbpedia.org/resource/Orbital_(band)
Architecture in Helsinki	http://www.last.fm/music/Architecture+in+Helsinki	http://dbpedia.org/resource/Architecture_in_Helsinki
Roy Orbison	http://www.last.fm/music/Roy+Orbison	http://dbpedia.org/resource/Roy_Orbison
Pizzicato Five	http://www.last.fm/music/Pizzicato+Five	http://dbpedia.org/resource/Pizzicato_Five
Flight of the Conchords	http://www.last.fm/music/Flight+of+the+Conchords	http://dbpedia.org/resource/Flight_of_the_Conchords
Los Campesinos!	http://www.last.fm/music/Los+Campesinos%21	http://dbpedia.org/resource/Los_Campesinos!
The Magnetic Fields	http://www.last.fm/music/The+Magnetic+Fields	http://dbpedia.org/resource/The_Magnetic_Fields
Antony and the Johnsons	http://www.last.fm/music/Antony+and+the+Johnsons	http://dbpedia.org/resource/Antony_and_the_Johnsons
The Blood Brothers	http://www.last.fm/music/The+Blood+Brothers	http://dbpedia.org/resource/The_Blood_Brothers_(band)
Diablo Swing Orchestra	http://www.last.fm/music/Diablo+Swing+Orchestra	http://dbpedia.org/resource/Diablo_Swing_Orchestra
Billy Talent	http://www.last.fm/music/Billy+Talent	http://dbpedia.org/resource/Billy_Talent
Escape The Fate	http://www.last.fm/music/Escape+The+Fate	http://dbpedia.org/resource/Escape_the_Fate
Silverstein	http://www.last.fm/music/Silverstein	http://dbpedia.org/resource/Silverstein_(band)
The Red Jumpsuit Apparatus	http://www.last.fm/music/The+Red+Jumpsuit+Apparatus	http://dbpedia.org/resource/The_Red_Jumpsuit_Apparatus
You Me At Six	http://www.last.fm/music/You+Me+At+Six	http://dbpedia.org/resource/You_Me_at_Six
The Blackout	http://www.last.fm/music/The+Blackout	http://dbpedia.org/resource/The_Blackout_(band)
Alesana	http://www.last.fm/music/Alesana	http://dbpedia.org/resource/Alesana
Dance Gavin Dance	http://www.last.fm/music/Dance+Gavin+Dance	http://dbpedia.org/resource/Dance_Gavin_Dance
Asking Alexandria	http://www.last.fm/music/Asking+Alexandria	http://dbpedia.org/resource/Asking_Alexandria
Secondhand Serenade	http://www.last.fm/music/Secondhand+Serenade	http://dbpedia.org/resource/Secondhand_Serenade
We Are The Ocean	http://www.last.fm/music/We+Are+The+Ocean	http://dbpedia.org/resource/We_Are_the_Ocean
Hadouken!	http://www.last.fm/music/Hadouken%21	http://dbpedia.org/resource/Hadouken!
Four Year Strong	http://www.last.fm/music/Four+Year+Strong	http://dbpedia.org/resource/Four_Year_Strong
Mayday Parade	http://www.last.fm/music/Mayday+Parade	http://dbpedia.org/resource/Mayday_Parade
Hawthorne Heights	http://www.last.fm/music/Hawthorne+Heights	http://dbpedia.org/resource/Hawthorne_Heights
Alexisonfire	http://www.last.fm/music/Alexisonfire	http://dbpedia.org/resource/Alexisonfire
Suicide Silence	http://www.last.fm/music/Suicide+Silence	
Senses Fail	http://www.last.fm/music/Senses+Fail	http://dbpedia.org/resource/Senses_Fail
We The Kings	http://www.last.fm/music/We+The+Kings	http://dbpedia.org/resource/We_the_Kings
Story of the Year	http://www.last.fm/music/Story+of+the+Year	http://dbpedia.org/resource/Story_of_the_Year
Cute Is What We Aim For	http://www.last.fm/music/Cute+Is+What+We+Aim+For	http://dbpedia.org/resource/Cute_Is_What_We_Aim_For
Melvins	http://www.last.fm/music/Melvins	http://dbpedia.org/resource/Melvins
Skinny Puppy	http://www.last.fm/music/Skinny+Puppy	http://dbpedia.org/resource/Skinny_Puppy
Death in June	http://www.last.fm/music/Death+in+June	http://dbpedia.org/resource/Death_in_June
Misfits	http://www.last.fm/music/Misfits	http://dbpedia.org/resource/List_of_Misfits_band_members
The Skatalites	http://www.last.fm/music/The+Skatalites	http://dbpedia.org/resource/The_Skatalites
Saul Williams	http://www.last.fm/music/Saul+Williams	http://dbpedia.org/resource/Saul_Williams
Lush	http://www.last.fm/music/Lush	http://dbpedia.org/resource/Lush_(band)
Nile	http://www.last.fm/music/Nile	http://dbpedia.org/resource/Nile_(band)
Mastodon	http://www.last.fm/music/Mastodon	http://dbpedia.org/resource/Mastodon_(band)
Patsy Cline	http://www.last.fm/music/Patsy+Cline	http://dbpedia.org/resource/Patsy_Cline
Naked City	http://www.last.fm/music/Naked+City	http://dbpedia.org/resource/Naked_City_(band)
Venetian Snares	http://www.last.fm/music/Venetian+Snares	http://dbpedia.org/resource/Venetian_Snares
Dean Martin	http://www.last.fm/music/Dean+Martin	http://dbpedia.org/resource/Dean_Martin
Shpongle	http://www.last.fm/music/Shpongle	http://dbpedia.org/resource/Shpongle
Dick Dale	http://www.last.fm/music/Dick+Dale	http://dbpedia.org/resource/Dick_Dale
La Quiete	http://www.last.fm/music/La+Quiete	http://dbpedia.org/resource/La_Quiete
Sunn O)))	http://www.last.fm/music/Sunn+O%29%29%29	http://dbpedia.org/resource/Sunn_O)))
The Dresden Dolls	http://www.last.fm/music/The+Dresden+Dolls	http://dbpedia.org/resource/The_Dresden_Dolls
CunninLynguists	http://www.last.fm/music/CunninLynguists	http://dbpedia.org/resource/CunninLynguists
Them Crooked Vultures	http://www.last.fm/music/Them+Crooked+Vultures	http://dbpedia.org/resource/Them_Crooked_Vultures
Skank	http://www.last.fm/music/Skank	http://dbpedia.org/resource/Skank_(band)
The Beach Boys	http://www.last.fm/music/The+Beach+Boys	http://dbpedia.org/resource/The_Beach_Boys
The Calling	http://www.last.fm/music/The+Calling	http://dbpedia.org/resource/The_Calling
The Darkness	http://www.last.fm/music/The+Darkness	http://dbpedia.org/resource/The_Darkness_(band)
Front Line Assembly	http://www.last.fm/music/Front+Line+Assembly	http://dbpedia.org/resource/Front_Line_Assembly
Mayhem	http://www.last.fm/music/Mayhem	http://dbpedia.org/resource/Mayhem_(band)
Overkill	http://www.last.fm/music/Overkill	http://dbpedia.org/resource/Overkill_(band)
Satyricon	http://www.last.fm/music/Satyricon	http://dbpedia.org/resource/Satyricon_(band)
Marduk	http://www.last.fm/music/Marduk	http://dbpedia.org/resource/Marduk_(band)
Sodom	http://www.last.fm/music/Sodom	http://dbpedia.org/resource/Sodom_(band)
Tristania	http://www.last.fm/music/Tristania	http://dbpedia.org/resource/Tristania_(band)
Carcass	http://www.last.fm/music/Carcass	http://dbpedia.org/resource/Carcass_(band)
Tactical Sekt	http://www.last.fm/music/Tactical+Sekt	http://dbpedia.org/resource/Tactical_Sekt
Sepultura	http://www.last.fm/music/Sepultura	http://dbpedia.org/resource/Sepultura
Immortal	http://www.last.fm/music/Immortal	http://dbpedia.org/resource/Immortal_(band)
Velvet Acid Christ	http://www.last.fm/music/Velvet+Acid+Christ	http://dbpedia.org/resource/Velvet_Acid_Christ
Cannibal Corpse	http://www.last.fm/music/Cannibal+Corpse	http://dbpedia.org/resource/Cannibal_Corpse
Talamasca	http://www.last.fm/music/Talamasca	
mind.in.a.box	http://www.last.fm/music/mind.in.a.box	http://dbpedia.org/resource/Mind.in.a.box
Absurd Minds	http://www.last.fm/music/Absurd+Minds	
Rotersand	http://www.last.fm/music/Rotersand	http://dbpedia.org/resource/Rotersand
VNV Nation	http://www.last.fm/music/VNV+Nation	http://dbpedia.org/resource/VNV_Nation
Seabound	http://www.last.fm/music/Seabound	http://dbpedia.org/resource/Seabound
Colony 5	http://www.last.fm/music/Colony+5	http://dbpedia.org/resource/Colony_5
Apoptygma Berzerk	http://www.last.fm/music/Apoptygma+Berzerk	http://dbpedia.org/resource/Apoptygma_Berzerk
Suicide Commando	http://www.last.fm/music/Suicide+Commando	http://dbpedia.org/resource/Suicide_Commando
Blutengel	http://www.last.fm/music/Blutengel	http://dbpedia.org/resource/Blutengel
Assemblage 23	http://www.last.fm/music/Assemblage+23	http://dbpedia.org/resource/Assemblage_23
Above & Beyond	http://www.last.fm/music/Above%2B%2526%2BBeyond	http://dbpedia.org/resource/Above_&_Beyond_(band)
Pride and Fall	http://www.last.fm/music/Pride+and+Fall	
Wynardtage	http://www.last.fm/music/Wynardtage	
XP8	http://www.last.fm/music/XP8	http://dbpedia.org/resource/XP8
Nuclear Assault	http://www.last.fm/music/Nuclear+Assault	http://dbpedia.org/resource/Nuclear_Assault
HammerFall	http://www.last.fm/music/HammerFall	http://dbpedia.org/resource/HammerFall
Sonata Arctica	http://www.last.fm/music/Sonata+Arctica	http://dbpedia.org/resource/Sonata_Arctica
Gamma Ray	http://www.last.fm/music/Gamma+Ray	http://dbpedia.org/resource/Gamma_Ray_(band)
Queensrÿche	http://www.last.fm/music/Queensr%C3%BFche	
Annihilator	http://www.last.fm/music/Annihilator	http://dbpedia.org/resource/Annihilator_(band)
Sabaton	http://www.last.fm/music/Sabaton	http://dbpedia.org/resource/Sabaton_(band)
Alestorm	http://www.last.fm/music/Alestorm	http://dbpedia.org/resource/Alestorm
Rhapsody of Fire	http://www.last.fm/music/Rhapsody+of+Fire	http://dbpedia.org/resource/Rhapsody_of_Fire
Edguy	http://www.last.fm/music/Edguy	http://dbpedia.org/resource/Edguy
Tenacious D	http://www.last.fm/music/Tenacious+D	http://dbpedia.org/resource/Tenacious_D
Death Angel	http://www.last.fm/music/Death+Angel	http://dbpedia.org/resource/Death_Angel
Running Wild	http://www.last.fm/music/Running+Wild	http://dbpedia.org/resource/Running_Wild_(band)
Motörhead	http://www.last.fm/music/Mot%C3%B6rhead	
Exodus	http://www.last.fm/music/Exodus	http://dbpedia.org/resource/Exodus_(American_band)
W.A.S.P.	http://www.last.fm/music/W.A.S.P.	http://dbpedia.org/resource/W.A.S.P.
Deep Purple	http://www.last.fm/music/Deep+Purple	http://dbpedia.org/resource/List_of_Deep_Purple_band_members
White Lies	http://www.last.fm/music/White+Lies	http://dbpedia.org/resource/White_Lies_(band)
The Fray	http://www.last.fm/music/The+Fray	http://dbpedia.org/resource/The_Fray
Jimmy Eat World	http://www.last.fm/music/Jimmy+Eat+World	http://dbpedia.org/resource/Jimmy_Eat_World
Hurts	http://www.last.fm/music/Hurts	http://dbpedia.org/resource/Hurts
Blue October	http://www.last.fm/music/Blue+October	http://dbpedia.org/resource/Blue_October
Starsailor	http://www.last.fm/music/Starsailor	http://dbpedia.org/resource/Starsailor_(band)
David Gray	http://www.last.fm/music/David+Gray	http://dbpedia.org/resource/David_Gray_(musician)
Imogen Heap	http://www.last.fm/music/Imogen+Heap	http://dbpedia.org/resource/Imogen_Heap
The Verve	http://www.last.fm/music/The+Verve	http://dbpedia.org/resource/The_Verve
Thirteen Senses	http://www.last.fm/music/Thirteen+Senses	http://dbpedia.org/resource/Thirteen_Senses
Eisley	http://www.last.fm/music/Eisley	http://dbpedia.org/resource/Eisley
Vampire Weekend	http://www.last.fm/music/Vampire+Weekend	http://dbpedia.org/resource/Vampire_Weekend
Lady Sovereign	http://www.last.fm/music/Lady+Sovereign	http://dbpedia.org/resource/Lady_Sovereign
The Chemical Brothers	http://www.last.fm/music/The+Chemical+Brothers	http://dbpedia.org/resource/The_Chemical_Brothers
Freemasons	http://www.last.fm/music/Freemasons	http://dbpedia.org/resource/Freemasons_(band)
Digitalism	http://www.last.fm/music/Digitalism	http://dbpedia.org/resource/Digitalism_(band)
Fatboy Slim	http://www.last.fm/music/Fatboy+Slim	http://dbpedia.org/resource/Norman_Cook
Justice	http://www.last.fm/music/Justice	http://dbpedia.org/resource/Justice_(band)
Armand van Helden	http://www.last.fm/music/Armand+van+Helden	http://dbpedia.org/resource/Armand_Van_Helden
deadmau5	http://www.last.fm/music/deadmau5	http://dbpedia.org/resource/Deadmau5
Ludacris	http://www.last.fm/music/Ludacris	http://dbpedia.org/resource/Ludacris
Lone	http://www.last.fm/music/Lone	http://dbpedia.org/resource/Lone_(musician)
Simian Mobile Disco	http://www.last.fm/music/Simian+Mobile+Disco	http://dbpedia.org/resource/Simian_Mobile_Disco
MSTRKRFT	http://www.last.fm/music/MSTRKRFT	http://dbpedia.org/resource/MSTRKRFT
Calvin Harris	http://www.last.fm/music/Calvin+Harris	http://dbpedia.org/resource/Calvin_Harris
Pendulum	http://www.last.fm/music/Pendulum	http://dbpedia.org/resource/Pendulum_(band)
King Crimson	http://www.last.fm/music/King+Crimson	http://dbpedia.org/resource/King_Crimson
Genesis	http://www.last.fm/music/Genesis	http://dbpedia.org/resource/Genesis_(band)
Paul McCartney	http://www.last.fm/music/Paul+McCartney	http://dbpedia.org/resource/Paul_McCartney's_musical_career
Creedence Clearwater Revival	http://www.last.fm/music/Creedence+Clearwater+Revival	http://dbpedia.org/resource/Creedence_Clearwater_Revival
George Harrison	http://www.last.fm/music/George+Harrison	http://dbpedia.org/resource/George_Harrison
Mogwai	http://www.last.fm/music/Mogwai	http://dbpedia.org/resource/Mogwai
Roberto Carlos	http://www.last.fm/music/Roberto+Carlos	http://dbpedia.org/resource/Roberto_Carlos_(singer)
Grateful Dead	http://www.last.fm/music/Grateful+Dead	http://dbpedia.org/resource/Grateful_Dead
A Silver Mt. Zion	http://www.last.fm/music/A+Silver+Mt.+Zion	http://dbpedia.org/resource/Thee_Silver_Mt._Zion_Memorial_Orchestra
Cat Power	http://www.last.fm/music/Cat+Power	http://dbpedia.org/resource/Cat_Power
David Gilmour	http://www.last.fm/music/David+Gilmour	http://dbpedia.org/resource/David_Gilmour
The Jimi Hendrix Experience	http://www.last.fm/music/The+Jimi+Hendrix+Experience	http://dbpedia.org/resource/The_Jimi_Hendrix_Experience
Stevie Wonder	http://www.last.fm/music/Stevie+Wonder	http://dbpedia.org/resource/Stevie_Wonder
Dulce María	http://www.last.fm/music/Dulce+Mar%C3%ADa	
Christian Chávez	http://www.last.fm/music/Christian+Ch%C3%A1vez	
Christopher Von Uckermann	http://www.last.fm/music/Christopher+Von+Uckermann	http://dbpedia.org/resource/Christopher_von_Uckermann
Tiziano Ferro	http://www.last.fm/music/Tiziano+Ferro	http://dbpedia.org/resource/Tiziano_Ferro
Daddy Yankee	http://www.last.fm/music/Daddy+Yankee	http://dbpedia.org/resource/Daddy_Yankee
Luis Fonsi	http://www.last.fm/music/Luis+Fonsi	http://dbpedia.org/resource/Luis_Fonsi
Camila	http://www.last.fm/music/Camila	http://dbpedia.org/resource/Camila_(band)
David Bisbal	http://www.last.fm/music/David+Bisbal	http://dbpedia.org/resource/David_Bisbal
Eva Simons	http://www.last.fm/music/Eva+Simons	http://dbpedia.org/resource/Eva_Simons
Wisin & Yandel	http://www.last.fm/music/Wisin%2B%2526%2BYandel	http://dbpedia.org/resource/Wisin_&_Yandel
Akon	http://www.last.fm/music/Akon	http://dbpedia.org/resource/Akon
Lady Antebellum	http://www.last.fm/music/Lady+Antebellum	http://dbpedia.org/resource/Lady_Antebellum
Pitbull	http://www.last.fm/music/Pitbull	http://dbpedia.org/resource/Pitbull_(rapper)
Kristinia DeBarge	http://www.last.fm/music/Kristinia+DeBarge	http://dbpedia.org/resource/Kristinia_DeBarge
Girlicious	http://www.last.fm/music/Girlicious	http://dbpedia.org/resource/Girlicious
Willow Smith	http://www.last.fm/music/Willow+Smith	http://dbpedia.org/resource/Willow_Smith
Selena Gomez	http://www.last.fm/music/Selena+Gomez	http://dbpedia.org/resource/Selena_Gomez
B.o.B	http://www.last.fm/music/B.o.B	http://dbpedia.org/resource/B.o.B
Far East Movement	http://www.last.fm/music/Far+East+Movement	http://dbpedia.org/resource/Far_East_Movement
Cherish	http://www.last.fm/music/Cherish	http://dbpedia.org/resource/Cherish_(group)
Miranda Cosgrove	http://www.last.fm/music/Miranda+Cosgrove	http://dbpedia.org/resource/Miranda_Cosgrove
Carrie Underwood	http://www.last.fm/music/Carrie+Underwood	http://dbpedia.org/resource/Carrie_Underwood
Gloriana	http://www.last.fm/music/Gloriana	http://dbpedia.org/resource/Gloriana_(band)
Amy Macdonald	http://www.last.fm/music/Amy+Macdonald	http://dbpedia.org/resource/Amy_Macdonald
ABBA	http://www.last.fm/music/ABBA	http://dbpedia.org/resource/ABBA
Kansas	http://www.last.fm/music/Kansas	http://dbpedia.org/resource/Kansas_(band)
The Mamas & The Papas	http://www.last.fm/music/The%2BMamas%2B%2526%2BThe%2BPapas	http://dbpedia.org/resource/The_Mamas_&_the_Papas
Lifehouse	http://www.last.fm/music/Lifehouse	http://dbpedia.org/resource/Lifehouse_(band)
Ricky Martin	http://www.last.fm/music/Ricky+Martin	http://dbpedia.org/resource/Ricky_Martin
Matt & Kim	http://www.last.fm/music/Matt%2B%2526%2BKim	http://dbpedia.org/resource/Matt_Sorum
Miike Snow	http://www.last.fm/music/Miike+Snow	http://dbpedia.org/resource/Miike_Snow
Santigold	http://www.last.fm/music/Santigold	http://dbpedia.org/resource/Santigold
Reba McEntire	http://www.last.fm/music/Reba+McEntire	http://dbpedia.org/resource/Reba_McEntire
Antonio Vivaldi	http://www.last.fm/music/Antonio+Vivaldi	
The Virgins	http://www.last.fm/music/The+Virgins	http://dbpedia.org/resource/The_Virgins
Rooney	http://www.last.fm/music/Rooney	http://dbpedia.org/resource/Rooney_(band)
Nadia Oh	http://www.last.fm/music/Nadia+Oh	http://dbpedia.org/resource/Nadia_Oh
Sonic Youth	http://www.last.fm/music/Sonic+Youth	http://dbpedia.org/resource/Sonic_Youth
Natalie Imbruglia	http://www.last.fm/music/Natalie+Imbruglia	http://dbpedia.org/resource/Natalie_Imbruglia
Omarion	http://www.last.fm/music/Omarion	http://dbpedia.org/resource/Omarion
Noel Gallagher	http://www.last.fm/music/Noel+Gallagher	http://dbpedia.org/resource/Noel_Gallagher
Black Rebel Motorcycle Club	http://www.last.fm/music/Black+Rebel+Motorcycle+Club	http://dbpedia.org/resource/Black_Rebel_Motorcycle_Club
Paolo Nutini	http://www.last.fm/music/Paolo+Nutini	http://dbpedia.org/resource/Paolo_Nutini
The Last Shadow Puppets	http://www.last.fm/music/The+Last+Shadow+Puppets	http://dbpedia.org/resource/The_Last_Shadow_Puppets
The Fratellis	http://www.last.fm/music/The+Fratellis	http://dbpedia.org/resource/The_Fratellis
The Enemy	http://www.last.fm/music/The+Enemy	http://dbpedia.org/resource/The_Enemy_(New_Zealand_band)
The Wombats	http://www.last.fm/music/The+Wombats	http://dbpedia.org/resource/The_Wombats
Mumford & Sons	http://www.last.fm/music/Mumford%2B%2526%2BSons	http://dbpedia.org/resource/Mumford_&_Sons
Ryan Adams	http://www.last.fm/music/Ryan+Adams	http://dbpedia.org/resource/Ryan_Adams
The Hives	http://www.last.fm/music/The+Hives	http://dbpedia.org/resource/The_Hives
Morbid Angel	http://www.last.fm/music/Morbid+Angel	http://dbpedia.org/resource/Morbid_Angel
Destruction	http://www.last.fm/music/Destruction	http://dbpedia.org/resource/Destruction_(band)
Tankard	http://www.last.fm/music/Tankard	http://dbpedia.org/resource/Tankard_(band)
